# telescope   = tel16
# season      = 2014-2017
# filter      = RG715
# aperture    = 6.000     pix
# deblend     = 0
# null_dc[1]  = 0.000813  mag
# null_dc[2]  = 0.000312  mag
# null_dc[3]  = 0.000501  mag
# null_dc[4]  = 0.000022  mag
# null_cm     = 0.365045  mag/mag
# null_fwhm_k = -0.000102 mag/pix
# null_fwhm_0 = 2.743500  pix
# null_chidof = 2.452
# null_nfit   = 2303
# null_nparm  = 6
#
#BJD           Mag         e_Mag       tExp    DMag    FWHM   Ellip Airmass X         Y         Angle   Sky      Peak  S  V  R F CM        Corr_Mag   
#------------- ----------- ----------- ------- ------- ------ ----- ------- --------- --------- ------- -------- ----- -- -- - - --------- -----------
2457835.894325    0.005925    0.003966  15.034  0.0033  3.132 0.082 2.00074   745.166  1682.974    0.03    42.83  8342  2  3 0 0  0.005482    0.003652
2457835.894788    0.014780    0.004041  15.034  0.0070  3.035 0.125 2.00945   745.991  1685.784    0.03    43.05  9015  2  3 0 0  0.005440    0.012512
2457835.895228    0.013766    0.004111  15.034  0.0112  2.621 0.054 2.01781   745.959  1691.820    0.03    43.76 11216  2  3 0 0  0.005400    0.011471
2457836.742363   -0.000220    0.002396  15.034 -0.0290  3.401 0.037 1.07163   743.859  1685.816   -0.00    22.21  6235  2  3 0 0  0.000953   -0.000813
2457836.742806    0.001186    0.002518  15.034 -0.0221  2.940 0.031 1.07198   743.812  1683.342   -0.00    22.40  8244  2  3 0 0  0.000938    0.000552
2457836.743247   -0.001061    0.002395  15.034 -0.0235  2.998 0.095 1.07234   744.532  1687.814   -0.00    22.66  7802  2  3 0 0  0.000924   -0.001685
2457836.743707    0.002625    0.002373  15.034 -0.0251  2.601 0.037 1.07273   746.379  1687.196   -0.00    22.91 10934  2  3 0 0  0.000909    0.001966
2457836.760428   -0.003455    0.002467  15.034 -0.0322  2.797 0.078 1.09256   744.114  1684.607    0.00    22.29 10075  2  3 0 0  0.001673   -0.004372
2457836.760875    0.001414    0.002409  15.034 -0.0290  2.740 0.035 1.09325   745.686  1687.960   -0.00    22.43 10381  2  3 0 0  0.001700    0.000481
2457836.761316    0.008063    0.002337  15.034 -0.0253  2.720 0.038 1.09394   746.056  1686.411   -0.00    22.52 10531  2  3 0 0  0.001727    0.007119
2457836.761774    0.003574    0.002358  15.034 -0.0293  3.063 0.072 1.09466   746.880  1681.159   -0.00    22.28  9026  2  3 0 0  0.001755    0.002654
2457836.777197    0.009675    0.002503  15.034 -0.0199  3.165 0.074 1.12467   745.121  1684.194    0.00    21.40  8204  2  3 0 0  0.001739    0.008771
2457836.777642    0.001854    0.002355  15.034 -0.0247  2.738 0.055 1.12570   745.340  1684.731    0.00    21.73  9868  2  3 0 0  0.001727    0.000911
2457836.778081    0.001452    0.002424  15.034 -0.0266  2.763 0.044 1.12673   746.145  1689.231    0.00    21.74  9658  2  3 0 0  0.001714    0.000517
2457836.778523    0.008705    0.002398  15.034 -0.0277  3.228 0.045 1.12778   746.739  1686.418    0.00    21.67  7383  2  3 0 0  0.001702    0.007821
2457836.799314    0.004936    0.002454  15.034 -0.0256  2.659 0.043 1.18886   745.619  1683.980    0.01    21.67 10753  2  3 0 0  0.001274    0.004151
2457836.799777    0.007949    0.002547  15.034 -0.0274  2.800 0.074 1.19050   746.068  1683.009    0.01    21.82 10248  2  3 0 0  0.001267    0.007180
2457836.800241    0.000974    0.002506  15.034 -0.0254  2.732 0.058 1.19217   746.927  1683.783    0.01    21.77 11242  2  3 0 0  0.001259    0.000201
2457836.800692    0.008364    0.002426  15.034 -0.0217  2.757 0.047 1.19380   747.674  1689.613    0.01    21.82  9074  2  3 0 0  0.001252    0.007596
2457836.821696    0.004671    0.002652  15.034 -0.0225  3.008 0.100 1.28568   745.023  1684.070    0.01    23.33  9877  2  3 0 0  0.001610    0.003799
2457836.822136    0.004658    0.002793  15.034 -0.0230  2.967 0.097 1.28798   745.746  1683.614    0.01    23.67  9096  2  3 0 0  0.001623    0.003776
2457836.822583    0.004095    0.002628  15.034 -0.0132  2.906 0.068 1.29033   745.647  1682.914    0.01    23.69  9719  2  3 0 0  0.001636    0.003203
2457836.823024    0.003796    0.002571  15.034 -0.0231  3.008 0.116 1.29267   745.838  1690.573    0.01    23.53  9406  2  3 0 0  0.001649    0.002909
2457836.850824   -0.001632    0.002856  15.034 -0.0167  3.499 0.110 1.48098   745.203  1689.358    0.02    29.94  6592  2  3 0 0  0.000869   -0.002184
2457836.851265    0.000622    0.003021  15.034 -0.0167  3.174 0.035 1.48474   746.230  1687.157    0.02    30.01  8716  2  3 0 0  0.000917    0.000019
2457836.851709    0.005140    0.003104  15.034 -0.0144  3.823 0.109 1.48857   746.799  1683.727    0.02    30.18  5661  2  3 0 0  0.000966    0.004586
2457836.852153    0.001773    0.003006  15.034 -0.0145  2.835 0.040 1.49241   747.266  1681.788    0.02    30.39 10428  2  3 0 0  0.001015    0.001100
2457837.630789    0.001315    0.002860  15.034 -0.0117  2.955 0.094 1.23122  1300.462   365.102 -179.88    34.76  9115  1  3 0 0  0.002191   -0.000277
2457837.631232    0.003807    0.002675  15.034 -0.0127  2.762 0.108 1.22932  1300.797   363.343 -179.89    35.01 10138  1  3 0 0  0.002161    0.002207
